COMMENT,NRI burma14 autogeneration or parameters for 90 percent load factor
SORT_BY,0
LABEL,NRI
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1170.285714,8927
1272.685714,8997
1272.685714,8997
1272.685714,8997
1272.685714,8997
1272.685714,8997
1272.685714,8997
1272.685714,8997
1272.685714,8997
1272.685714,8997
1272.685714,8997
1272.685714,8997
1272.685714,8997
1272.685714,8997
